Fraktion/Gruppe,Name,Vorname,ja,nein,Enthaltung,ungültig,nichtabgegeben,Ergebnis
SPD,Abdi,Sanae,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Ahmetovic,Adis,0,0,0,0,1,"Ja: 0, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 1"
SPD,Alabali-Radovan,Reem,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Andres,Dagmar,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Annen,Niels,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Arlt,Johannes,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Baehrens,Heike,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Bahr,Ulrike,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Baldy,Daniel,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Baradari,Nezahat,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Bartol,Sören,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Bartz,Alexander,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Bas,Bärbel,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Becker,Holger,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Berghahn,Jürgen,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Bergt,Bengt,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Blankenburg,Jakob,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Breymaier,Leni,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Budde,Katrin,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Cademartori Dujisin,Isabel,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Castellucci,Lars,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Coße,Jürgen,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Daldrup,Bernhard,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,De Ridder,Daniela,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Demir,Hakan,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Diaby,Karamba,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Diedenhofen,Martin,0,0,0,0,1,"Ja: 0, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 1"
SPD,Dieren,Jan,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Dilcher,Esther,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Dittmar,Sabine,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Döring,Felix,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Droßmann,Falko,0,0,0,0,1,"Ja: 0, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 1"
SPD,Echeverria,Axel,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Eichwede,Sonja,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Engelhardt,Heike,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Esdar,Wiebke,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
SPD,Esken,Saskia,1,0,0,0,0,"Ja: 1, Nein: 0, Enthaltungen: 0, Nicht abgegeben: 0"
